City,Company,Department,DisplayName,EmailAddress,EmployeeId,EmployeeType,EmployeeHireDate,HierarchyLevel,Organization,BusinessArea,ResponsibilityArea,ServiceArea,ServiceUnit,WorkLocation,EmployeeOrgData,Office,physicalDeliveryOfficeName,PostalCode,StreetAddress,StateOrProvince,CountryOrRegion,Title,BusinessPhone,MobilePhone,MailNickname,Manager,Sponsors,OtherEmails,ProxyAddresses,FaxNumber,IMAddresses,PreferredLanguage,AccountStatus,DataOrigin
Jyväskylä,Keski-Suomen hyvinvointialue,Hyvinvointialueen johto,Koskinen Mikael,mikael.koskinen@example.invalid,SYN-HYVAKS-000001,Vakituinen,2008-08-08,Hyvinvointialue,"Hyvinvointialue, Keski-Suomi",Koko hyvinvointialue,Hyvinvointialueen johto,Hyvinvointialueen johto,Hyvinvointialueen johto,"HYVINVOINTIKATU 12, 40100 Jyväskylä","Toimiala=Koko hyvinvointialue; Vastuualue=Hyvinvointialueen johto; Palvelualue=Hyvinvointialueen johto; Palveluyksikkö=Hyvinvointialueen johto; Toimipiste=HYVINVOINTIKATU 12, 40100 Jyväskylä",KESKI-SUOMEN HYVINVOINTIALUE,KESKI-SUOMEN HYVINVOINTIALUE,40100,HYVINVOINTIKATU 12,Keski-Suomi,Suomi,Hyvinvointialuejohtaja,+358142000001,+35845100001,mikael.koskinen,,,,SMTP:mikael.koskinen@example.invalid,,,fi-FI,Aktiivinen,synthetic-development-data
Jyväskylä,Keski-Suomen hyvinvointialue,Konsernipalveluiden johto,Salminen Kimmo,kimmo.salminen@example.invalid,SYN-HYVAKS-000002,Vakituinen,2019-08-01,Toimiala,"Hyvinvointialue, Keski-Suomi",Konsernipalvelut,Konsernipalvelut,Konsernipalveluiden johto,Konsernipalveluiden johto,"HYVINVOINTIKATU 12, 40100 Jyväskylä","Toimiala=Konsernipalvelut; Vastuualue=Konsernipalvelut; Palvelualue=Konsernipalveluiden johto; Palveluyksikkö=Konsernipalveluiden johto; Toimipiste=HYVINVOINTIKATU 12, 40100 Jyväskylä",KESKI-SUOMEN HYVINVOINTIALUE,KESKI-SUOMEN HYVINVOINTIALUE,40100,HYVINVOINTIKATU 12,Keski-Suomi,Suomi,Konsernipalvelujohtaja,+358142000002,+35844100002,kimmo.salminen,SYN-HYVAKS-000001,,,SMTP:kimmo.salminen@example.invalid,,,fi-FI,Aktiivinen,synthetic-development-data
Jyväskylä,Keski-Suomen hyvinvointialue,Tietohallinto johtaminen,Saarinen Anni,anni.saarinen@example.invalid,SYN-HYVAKS-000003,Vakituinen,2023-11-22,Vastuualue,"Hyvinvointialue, Keski-Suomi",Konsernipalvelut,Tietohallinto,Tietohallinto johtaminen,Tietohallinto johtaminen,"HOITAJANTIE 1, 40620 Jyväskylä","Toimiala=Konsernipalvelut; Vastuualue=Tietohallinto; Palvelualue=Tietohallinto johtaminen; Palveluyksikkö=Tietohallinto johtaminen; Toimipiste=HOITAJANTIE 1, 40620 Jyväskylä",KESKI-SUOMEN HYVINVOINTIALUE,KESKI-SUOMEN HYVINVOINTIALUE,40620,HOITAJANTIE 1,Keski-Suomi,Suomi,Tietohallintojohtaja,+358142000003,+35840100003,anni.saarinen,SYN-HYVAKS-000002,,,SMTP:anni.saarinen@example.invalid,,,fi-FI,Aktiivinen,synthetic-development-data
Jyväskylä,Keski-Suomen hyvinvointialue,Viestintäpalvelut johtaminen,Rautio Ville,ville.rautio@example.invalid,SYN-HYVAKS-000004,Vakituinen,1998-01-21,Vastuualue,"Hyvinvointialue, Keski-Suomi",Konsernipalvelut,Viestintäpalvelut,Viestintäpalvelut johtaminen,Viestintäpalvelut johtaminen,"HOITAJANTIE 1, 40620 Jyväskylä","Toimiala=Konsernipalvelut; Vastuualue=Viestintäpalvelut; Palvelualue=Viestintäpalvelut johtaminen; Palveluyksikkö=Viestintäpalvelut johtaminen; Toimipiste=HOITAJANTIE 1, 40620 Jyväskylä",KESKI-SUOMEN HYVINVOINTIALUE,KESKI-SUOMEN HYVINVOINTIALUE,40620,HOITAJANTIE 1,Keski-Suomi,Suomi,Viestintäjohtaja,+358142000004,+35840100004,ville.rautio,SYN-HYVAKS-000002,,,SMTP:ville.rautio@example.invalid,,,fi-FI,Poistuva,synthetic-development-data
Jyväskylä,Keski-Suomen hyvinvointialue,Tilapalvelut johtaminen,Lahtinen Juha,juha.lahtinen@example.invalid,SYN-HYVAKS-000005,Vakituinen,2007-01-20,Vastuualue,"Hyvinvointialue, Keski-Suomi",Konsernipalvelut,Tilapalvelut,Tilapalvelut johtaminen,Tilapalvelut johtaminen,"HYVINVOINTIKATU 12, 40100 Jyväskylä","Toimiala=Konsernipalvelut; Vastuualue=Tilapalvelut; Palvelualue=Tilapalvelut johtaminen; Palveluyksikkö=Tilapalvelut johtaminen; Toimipiste=HYVINVOINTIKATU 12, 40100 Jyväskylä",KESKI-SUOMEN HYVINVOINTIALUE,KESKI-SUOMEN HYVINVOINTIALUE,40100,HYVINVOINTIKATU 12,Keski-Suomi,Suomi,Tilapalvelujohtaja,+358142000005,+35845100005,juha.lahtinen,SYN-HYVAKS-000002,,,SMTP:juha.lahtinen@example.invalid,,,fi-FI,Aktiivinen,synthetic-development-data
Jyväskylä,Keski-Suomen hyvinvointialue,Tietohallinto yhteiset,Savolainen Anu,anu.savolainen@example.invalid,SYN-HYVAKS-000006,Vakituinen,2021-11-10,Palvelualue,"Hyvinvointialue, Keski-Suomi",Konsernipalvelut,Tietohallinto,Tietohallinto yhteiset,Tietohallinto yhteiset,"HOITAJANTIE 1, 40620 Jyväskylä","Toimiala=Konsernipalvelut; Vastuualue=Tietohallinto; Palvelualue=Tietohallinto yhteiset; Palveluyksikkö=Tietohallinto yhteiset; Toimipiste=HOITAJANTIE 1, 40620 Jyväskylä",KESKI-SUOMEN HYVINVOINTIALUE,KESKI-SUOMEN HYVINVOINTIALUE,40620,HOITAJANTIE 1,Keski-Suomi,Suomi,Tietohallinnon palvelupäällikkö,+358142000006,+35844100006,anu.savolainen,SYN-HYVAKS-000003,,,SMTP:anu.savolainen@example.invalid,,,fi-FI,Aktiivinen,synthetic-development-data
Jyväskylä,Keski-Suomen hyvinvointialue,Tietohallintopalvelut,Heikkilä Janne,janne.heikkila@example.invalid,SYN-HYVAKS-000007,Vakituinen,2010-07-08,Palvelualue,"Hyvinvointialue, Keski-Suomi",Konsernipalvelut,Tietohallinto,Tietohallintopalvelut,Tietohallintopalvelut,"HOITAJANTIE 1, 40620 Jyväskylä","Toimiala=Konsernipalvelut; Vastuualue=Tietohallinto; Palvelualue=Tietohallintopalvelut; Palveluyksikkö=Tietohallintopalvelut; Toimipiste=HOITAJANTIE 1, 40620 Jyväskylä",KESKI-SUOMEN HYVINVOINTIALUE,KESKI-SUOMEN HYVINVOINTIALUE,40620,HOITAJANTIE 1,Keski-Suomi,Suomi,Tietohallintopalveluiden päällikkö,+358142000007,+35840100007,janne.heikkila,SYN-HYVAKS-000003,,,SMTP:janne.heikkila@example.invalid,,,fi-FI,Aktiivinen,synthetic-development-data
Jyväskylä,Keski-Suomen hyvinvointialue,Projektit ja kehittäminen,Mäkinen Kimmo,kimmo.makinen@example.invalid,SYN-HYVAKS-000008,Vakituinen,2003-11-20,Palvelualue,"Hyvinvointialue, Keski-Suomi",Konsernipalvelut,Tietohallinto,Projektit ja kehittäminen,Projektit ja kehittäminen,"HOITAJANTIE 1, 40620 Jyväskylä","Toimiala=Konsernipalvelut; Vastuualue=Tietohallinto; Palvelualue=Projektit ja kehittäminen; Palveluyksikkö=Projektit ja kehittäminen; Toimipiste=HOITAJANTIE 1, 40620 Jyväskylä",KESKI-SUOMEN HYVINVOINTIALUE,KESKI-SUOMEN HYVINVOINTIALUE,40620,HOITAJANTIE 1,Keski-Suomi,Suomi,Kehittämispäällikkö,+358142000008,+35850100008,kimmo.makinen,SYN-HYVAKS-000003,,,SMTP:kimmo.makinen@example.invalid,,,fi-FI,Aktiivinen,synthetic-development-data
Jyväskylä,Keski-Suomen hyvinvointialue,Teknologiapalvelut,Vainio Paula,paula.vainio@example.invalid,SYN-HYVAKS-000009,Määräaikainen,2005-02-24,Palvelualue,"Hyvinvointialue, Keski-Suomi",Konsernipalvelut,Tietohallinto,Teknologiapalvelut,Teknologiapalvelut,"HOITAJANTIE 1, 40620 Jyväskylä","Toimiala=Konsernipalvelut; Vastuualue=Tietohallinto; Palvelualue=Teknologiapalvelut; Palveluyksikkö=Teknologiapalvelut; Toimipiste=HOITAJANTIE 1, 40620 Jyväskylä",KESKI-SUOMEN HYVINVOINTIALUE,KESKI-SUOMEN HYVINVOINTIALUE,40620,HOITAJANTIE 1,Keski-Suomi,Suomi,Teknologiapäällikkö,+358142000009,+35840100009,paula.vainio,SYN-HYVAKS-000003,,,SMTP:paula.vainio@example.invalid,,,fi-FI,Aktiivinen,synthetic-development-data
Jyväskylä,Keski-Suomen hyvinvointialue,Palveluprosessien digitalisaatio,Heikkilä Eemeli,eemeli.heikkila@example.invalid,SYN-HYVAKS-000010,Vakituinen,2001-01-17,Palvelualue,"Hyvinvointialue, Keski-Suomi",Konsernipalvelut,Tietohallinto,Palveluprosessien digitalisaatio,Palveluprosessien digitalisaatio,"HOITAJANTIE 1, 40620 Jyväskylä","Toimiala=Konsernipalvelut; Vastuualue=Tietohallinto; Palvelualue=Palveluprosessien digitalisaatio; Palveluyksikkö=Palveluprosessien digitalisaatio; Toimipiste=HOITAJANTIE 1, 40620 Jyväskylä",KESKI-SUOMEN HYVINVOINTIALUE,KESKI-SUOMEN HYVINVOINTIALUE,40620,HOITAJANTIE 1,Keski-Suomi,Suomi,Digitalisaatiopäällikkö,+358142000010,+35840100010,eemeli.heikkila,SYN-HYVAKS-000003,,,SMTP:eemeli.heikkila@example.invalid,,,fi-FI,Aktiivinen,synthetic-development-data
Jyväskylä,Keski-Suomen hyvinvointialue,Viestintäpalvelut,Mattila Heli,heli.mattila@example.invalid,SYN-HYVAKS-000011,Vakituinen,2023-09-24,Palvelualue,"Hyvinvointialue, Keski-Suomi",Konsernipalvelut,Viestintäpalvelut,Viestintäpalvelut,Viestintäpalvelut,"HOITAJANTIE 1, 40620 Jyväskylä","Toimiala=Konsernipalvelut; Vastuualue=Viestintäpalvelut; Palvelualue=Viestintäpalvelut; Palveluyksikkö=Viestintäpalvelut; Toimipiste=HOITAJANTIE 1, 40620 Jyväskylä",KESKI-SUOMEN HYVINVOINTIALUE,KESKI-SUOMEN HYVINVOINTIALUE,40620,HOITAJANTIE 1,Keski-Suomi,Suomi,Viestintäpäällikkö,+358142000011,+35850100011,heli.mattila,SYN-HYVAKS-000004,,,SMTP:heli.mattila@example.invalid,,,fi-FI,Aktiivinen,synthetic-development-data
